project_id,deployment_id,sequence_id,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,start_time,end_time,group_size,age,sex,animal_recognizable,individual_id,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license
2007494,AZCAM38 - 20240319,9342713,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,03/03/2024 11:00,03/03/2024 11:03,3,,,,,,,,,,CC-BY-NC
2007494,AZCAM38 - 20240319,9342713,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,03/03/2024 11:00,03/03/2024 11:03,3,,,,,,,,,,CC-BY-NC
2007494,AZCAM38 - 20240319,9342713,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,03/03/2024 11:00,03/03/2024 11:03,3,,,,,,,,,,CC-BY-NC
2007494,AZCAM38 - 20240319,9342713,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,03/03/2024 11:00,03/03/2024 11:03,3,,,,,,,,,,CC-BY-NC
2007494,AZCAM38 - 20240319,9342713,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,03/03/2024 11:00,03/03/2024 11:03,3,,,,,,,,,,CC-BY-NC
2007494,AZCAM38 - 20240319,9342713,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,03/03/2024 11:00,03/03/2024 11:03,3,,,,,,,,,,CC-BY-NC
2007494,AZCAM38 - 20240319,9342713,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,03/03/2024 11:00,03/03/2024 11:03,3,,,,,,,,,,CC-BY-NC
2007494,AZCAM38 - 20240319,9342713,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,03/03/2024 11:00,03/03/2024 11:03,3,,,,,,,,,,CC-BY-NC
2007494,AZCAM38 - 20240319,9342713,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,03/03/2024 11:00,03/03/2024 11:03,3,,,,,,,,,,CC-BY-NC
2007494,AZCAM38 - 20240319,9342713,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,03/03/2024 11:00,03/03/2024 11:03,3,,,,,,,,,,CC-BY-NC
2007494,AZCAM38 - 20240319,9342713,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,03/03/2024 11:00,03/03/2024 11:03,3,,,,,,,,,,CC-BY-NC
2007494,AZCAM38 - 20240319,9342713,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,03/03/2024 11:00,03/03/2024 11:03,3,,,,,,,,,,CC-BY-NC
2007494,AZCAM38 - 20240319,9342713,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,03/03/2024 11:00,03/03/2024 11:03,3,,,,,,,,,,CC-BY-NC
2007494,AZCAM38 - 20240319,9342713,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,03/03/2024 11:00,03/03/2024 11:03,3,,,,,,,,,,CC-BY-NC
2007494,AZCAM38 - 20240319,9342713,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,03/03/2024 11:00,03/03/2024 11:03,3,,,,,,,,,,CC-BY-NC
2007494,AZCAM38 - 20240319,9342713,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,03/03/2024 11:00,03/03/2024 11:03,3,,,,,,,,,,CC-BY-NC
2007494,AZCAM38 - 20240319,9342713,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,03/03/2024 11:00,03/03/2024 11:03,3,,,,,,,,,,CC-BY-NC
2007494,AZCAM38 - 20240319,9342713,0,Hubert Szczygiel,5109acb4-e503-4147-a175-a3c6aa71f1e3,Mammalia,Perissodactyla,Equidae,Equus,caballus,Domestic Horse,,03/03/2024 11:00,03/03/2024 11:03,3,,,,,,,,,,CC-BY-NC
